Country,Date,Temperature,Rainfall,Relative_Humidity
Guinea,2014-08-29,25.2,1.0,86
Guinea,2014-08-30,26.1,2.8,83
Guinea,2014-08-31,25.1,4.9,86
Guinea,2014-09-01,25.1,6.0,86
Guinea,2014-09-02,25.1,4.8,85
Guinea,2014-09-03,24.0,29.3,90
Guinea,2014-09-04,24.3,16.9,89
Guinea,2014-09-05,25.0,4.3,86
Guinea,2014-09-06,24.3,44.7,90
Guinea,2014-09-07,24.2,16.2,89
Guinea,2014-09-08,24.4,13.3,87
Guinea,2014-09-09,24.4,17.0,88
Guinea,2014-09-10,25.0,5.5,86
Guinea,2014-09-11,24.9,1.8,83
Guinea,2014-09-12,25.0,1.6,84
Guinea,2014-09-13,25.7,7.1,83
Guinea,2014-09-14,24.5,14.5,88
Guinea,2014-09-15,24.8,7.8,87
Guinea,2014-09-16,24.0,55.6,91
Guinea,2014-09-17,24.4,13.7,89
Guinea,2014-09-18,23.9,16.1,91
Guinea,2014-09-19,24.2,10.1,88
Guinea,2014-09-20,24.7,6.5,87
Guinea,2014-09-21,24.5,19.0,88
Guinea,2014-09-22,25.0,15.8,87
Guinea,2014-09-23,24.8,7.5,87
Guinea,2014-09-24,25.2,5.1,86
Guinea,2014-09-25,24.5,27.1,88
Guinea,2014-09-26,24.8,25.7,86
Guinea,2014-09-27,25.7,2.3,84
Guinea,2014-09-28,25.3,6.8,86
Guinea,2014-09-29,25.1,2.2,87
Guinea,2014-09-30,25.7,2.6,84
Guinea,2014-10-01,25.5,4.3,85
Guinea,2014-10-02,25.5,3.6,84
Guinea,2014-10-03,24.8,3.7,88
Guinea,2014-10-04,25.3,5.8,87
Guinea,2014-10-05,25.6,5.1,84
Guinea,2014-10-06,25.3,14.7,88
Guinea,2014-10-07,24.0,39.7,91
Guinea,2014-10-08,25.6,2.0,84
Guinea,2014-10-09,25.3,4.8,87
Guinea,2014-10-10,25.7,1.6,84
Guinea,2014-10-11,25.8,2.9,85
Guinea,2014-10-12,25.6,5.2,85
Guinea,2014-10-13,25.7,2.4,86
Guinea,2014-10-14,25.2,8.4,87
Guinea,2014-10-15,25.6,0.0,85
Guinea,2014-10-16,25.5,0.6,87
Guinea,2014-10-17,26.3,1.9,85
Guinea,2014-10-18,25.7,6.7,86
Guinea,2014-10-19,25.8,6.9,86
Guinea,2014-10-20,25.1,12.2,89
Guinea,2014-10-21,25.7,1.2,87
Guinea,2014-10-22,26.0,3.6,84
Guinea,2014-10-23,25.5,2.9,85
Guinea,2014-10-24,25.5,4.7,85
Guinea,2014-10-25,25.5,5.1,86
