Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths",Temperature,Rainfall,Relative_Humidity
Guinea,2014-08-29,648.0,430.0,25.2,1.0,86
Guinea,2014-09-05,812.0,517.0,25.0,4.3,86
Guinea,2014-09-08,862.0,555.0,24.4,13.3,87
Guinea,2014-09-12,861.0,557.0,25.0,1.6,84
Guinea,2014-09-16,936.0,595.0,24.0,55.6,91
Guinea,2014-09-18,942.0,601.0,23.9,16.1,91
Guinea,2014-09-22,1008.0,632.0,25.0,15.8,87
Guinea,2014-09-24,1022.0,635.0,25.2,5.1,86
Guinea,2014-09-26,1074.0,648.0,24.8,25.7,86
Guinea,2014-10-01,1157.0,710.0,25.5,4.3,85
Guinea,2014-10-03,1199.0,739.0,24.8,3.7,88
Guinea,2014-10-08,1298.0,768.0,25.6,2.0,84
Guinea,2014-10-10,1350.0,778.0,25.7,1.6,84
Guinea,2014-10-15,1472.0,843.0,25.6,0.0,85
Guinea,2014-10-17,1519.0,862.0,26.3,1.9,85
Guinea,2014-10-22,1540.0,904.0,26.0,3.6,84
Guinea,2014-10-25,1553.0,926.0,25.5,5.1,86
Guinea,2014-10-29,1906.0,997.0,25.5,9.6,85
Guinea,2014-10-31,1667.0,1018.0,25.6,7.9,85
Guinea,2014-11-05,1731.0,1041.0,25.7,1.9,85
Guinea,2014-11-07,1760.0,1054.0,26.4,11.0,85
Guinea,2014-11-12,1878.0,1142.0,26.3,0.8,85
Guinea,2014-11-14,1919.0,1166.0,26.2,3.5,84
Guinea,2014-11-19,1971.0,1192.0,25.4,8.0,85
Guinea,2014-11-21,2047.0,1214.0,25.5,2.6,85
Guinea,2014-11-26,2134.0,1260.0,26.4,0.6,82
Guinea,2014-12-01,2155.0,1312.0,25.4,6.4,85
Guinea,2014-12-03,2164.0,1327.0,26.3,0.0,81
Guinea,2014-12-10,2292.0,1428.0,26.3,0.1,84
Guinea,2014-12-15,2394.0,1518.0,25.7,0.0,76
Guinea,2014-12-17,2416.0,1525.0,25.7,0.0,78
Guinea,2014-12-22,2571.0,1586.0,25.4,0.0,79
Guinea,2014-12-23,2597.0,1607.0,25.4,0.0,78
Guinea,2014-12-24,2597.0,1607.0,25.6,0.0,80
Guinea,2014-12-26,2630.0,1654.0,25.5,0.0,85
Guinea,2014-12-29,2695.0,1697.0,25.6,0.0,62
Guinea,2014-12-30,2706.0,1708.0,25.0,0.0,74
Guinea,2014-12-31,2707.0,1709.0,24.8,0.0,78
Guinea,2015-01-02,2730.0,1739.0,24.9,0.0,75
Guinea,2015-01-05,2769.0,1767.0,25.1,0.0,75
Guinea,2015-01-06,2775.0,1781.0,25.1,0.0,72
